Name,Age,Country,Role,Matches,Experience ( in Yrs),Runs,Strike_Rate,Wickets,Economy,Average,Team_Preference,Auction_Price ( in Cr )
Irfan Mehta,30,West Indies,Bowler,220,10,428,119.7,295,5.74,39.43,CSK,7.0
Nikhil Reddy,21,India,Allrounder,78,3,3294,98.1,113,5.85,52.87,LSG,1.5
Ankit Verma,21,West Indies,Batter,23,1,13727,106.9,5,6.65,36.54,RCB,7.0
Rahul Patel,29,India,Batter,215,11,8789,96.1,9,7.72,25.18,PBKS,12.0
Sandeep Kulkarni,41,Australia,Allrounder,17,1,8264,136.0,132,6.32,27.99,PBKS,3.0
Nikhil Mehta,28,India,Wicketkeeper,208,10,4785,120.4,0,0.0,39.51,PBKS,5.0
Pranav Reddy,25,South Africa,Wicketkeeper,130,5,3094,148.3,0,0.0,31.41,LSG,7.0
Irfan Deshmukh,38,England,Bowler,213,13,3662,124.4,286,4.51,46.14,GT,7.0
Pranav Yadav,42,Sri Lanka,Batter,290,10,6569,120.5,14,6.38,20.62,PBKS,1.5
Amit Chopra,27,West Indies,Bowler,100,5,1668,124.0,324,4.13,30.44,MI,0.2
Pranav Mehta,23,India,Bowler,98,5,1576,131.1,850,7.21,35.89,LSG,2.0
Sameer Sharma,30,India,Bowler,82,4,3823,124.8,396,5.55,21.42,LSG,5.0
Rahul Yadav,35,India,Allrounder,49,3,8157,154.9,280,8.12,26.35,KKR,2.0
Ankit Naidu,34,South Africa,Batter,325,14,11082,103.6,2,6.42,43.14,LSG,5.0
Harshit Sharma,36,India,Bowler,94,5,2173,145.9,534,6.51,46.31,KKR,1.5
Amit Singh,28,India,Allrounder,150,8,7067,131.8,468,6.57,44.09,GT,3.0
Amit Reddy,18,Sri Lanka,Wicketkeeper,30,1,4314,125.8,0,0.0,36.65,LSG,0.5
Harshit Mehta,37,India,Allrounder,138,6,4151,128.4,214,7.26,42.54,LSG,5.0
Vikas Khan,42,Australia,Batter,372,15,9786,138.2,15,8.14,42.5,RR,3.0
Aditya Deshmukh,26,England,Batter,119,6,10415,135.9,11,7.82,35.73,SRH,0.5
Karthik Deshmukh,42,Australia,Allrounder,176,6,8142,95.1,461,5.85,39.6,SRH,1.0
Sandeep Deshmukh,34,India,Allrounder,89,5,8187,153.3,306,7.07,32.65,RR,5.0
Irfan Patel,29,South Africa,Batter,45,2,7090,107.1,7,7.38,22.47,DC,2.0
Ankit Naidu,35,Australia,Batter,287,12,11100,110.0,1,8.7,41.31,RR,0.5
Pranav Reddy,38,India,Batter,335,12,11922,123.3,6,8.41,50.67,GT,12.0
Irfan Mehta,34,Australia,Batter,160,7,8302,112.1,1,7.55,51.36,KKR,5.0
Arjun Reddy,23,India,Allrounder,118,4,6624,104.8,193,8.02,20.91,CSK,12.0
Vikas Deshmukh,41,India,Wicketkeeper,318,12,11971,100.4,0,0.0,30.03,KKR,2.0
Nikhil Khan,22,India,Allrounder,38,2,7802,128.5,204,8.4,33.06,DC,2.0
Rahul Singh,32,Sri Lanka,Allrounder,19,1,4796,122.2,138,8.11,31.03,DC,10.0
Harshit Iyer,35,India,Bowler,29,1,363,146.0,466,7.58,49.53,SRH,3.0
Harshit Iyer,21,South Africa,Wicketkeeper,82,3,10080,125.7,0,0.0,47.63,GT,5.0
Manoj Deshmukh,41,India,Wicketkeeper,255,9,2902,105.8,0,0.0,40.06,RCB,1.0
Pranav Verma,24,West Indies,Allrounder,146,6,7661,112.5,485,8.44,47.8,LSG,2.0
Arjun Patel,40,India,Wicketkeeper,105,6,5039,124.4,0,0.0,21.39,PBKS,0.5
Rahul Shetty,23,India,Allrounder,92,5,5681,105.1,425,7.67,42.1,RCB,0.5
Sandeep Singh,40,Australia,Wicketkeeper,18,1,10721,100.1,0,0.0,53.14,KKR,0.2
Ankit Verma,29,West Indies,Allrounder,96,5,4107,108.6,315,6.02,24.52,MI,0.2
Rohan Shetty,34,India,Batter,233,8,6805,137.7,11,9.31,45.96,CSK,12.0
Vikas Khan,30,West Indies,Batter,69,4,10063,123.5,15,7.75,23.85,RCB,1.0
Irfan Mehta,24,Australia,Allrounder,73,3,6247,109.8,456,6.96,54.2,CSK,5.0
Ankit Naidu,42,South Africa,Wicketkeeper,527,18,9654,142.8,0,0.0,34.45,MI,7.0
Vikas Iyer,38,India,Batter,142,5,9845,142.1,5,6.53,24.27,DC,3.0
Manoj Verma,35,Australia,Allrounder,322,14,4667,107.7,65,5.66,39.49,KKR,0.5
Vikas Sharma,39,India,Bowler,440,17,2229,113.9,529,6.99,22.96,PBKS,5.0
Manoj Naidu,23,South Africa,Allrounder,101,5,2139,139.9,243,6.63,27.76,KKR,3.0
Irfan Chopra,24,South Africa,Batter,31,2,4689,151.8,15,6.77,53.4,SRH,5.0
Arjun Shetty,23,India,Bowler,120,4,849,143.5,797,7.76,26.59,CSK,7.0
Arjun Malik,30,Sri Lanka,Batter,111,5,12354,115.4,2,6.74,31.13,SRH,12.0
Harshit Yadav,38,India,Wicketkeeper,88,3,3066,152.4,0,0.0,47.62,SRH,3.0
Aditya Deshmukh,25,South Africa,Batter,28,1,6848,106.2,12,8.53,51.83,MI,1.5
Arjun Verma,31,England,Bowler,64,3,296,104.8,377,7.15,50.49,DC,5.0
Karthik Mehta,42,India,Allrounder,20,1,8832,99.9,334,5.95,42.99,RR,0.2
Pranav Sharma,29,Australia,Batter,46,2,9995,100.7,2,8.29,31.16,GT,10.0
Aditya Sharma,19,India,Wicketkeeper,27,1,2600,154.6,0,0.0,43.74,CSK,0.2
Pranav Patel,27,Australia,Batter,183,7,13815,107.8,10,8.56,22.76,LSG,1.5
Sameer Malik,24,India,Batter,114,5,7545,109.9,2,6.97,28.21,RR,7.0
Pranav Naidu,18,West Indies,Wicketkeeper,24,1,7733,106.6,0,0.0,40.12,GT,3.0
Irfan Malik,33,India,Bowler,320,14,1430,144.2,137,5.25,26.44,RCB,1.5
Sameer Yadav,23,India,Bowler,67,3,1089,95.8,840,5.77,36.86,GT,2.0
Rahul Shetty,26,India,Wicketkeeper,29,1,5310,98.4,0,0.0,54.22,MI,7.0
Amit Iyer,37,India,Allrounder,432,17,6732,124.4,423,7.77,23.03,KKR,1.5
Karthik Patel,18,West Indies,Wicketkeeper,25,1,6333,130.5,0,0.0,46.56,SRH,10.0
Harshit Patel,25,India,Bowler,122,6,1864,129.1,668,4.72,48.5,LSG,0.2
Rohan Deshmukh,42,India,Allrounder,309,11,8050,143.2,483,7.69,50.78,MI,7.0
Harshit Shetty,35,India,Allrounder,110,6,1547,119.3,460,8.28,39.91,PBKS,7.0
Ankit Shetty,23,India,Batter,140,5,12609,136.8,11,8.77,54.84,RCB,0.5
Irfan Reddy,22,India,Wicketkeeper,18,1,5087,95.8,0,0.0,32.43,GT,2.0
Sandeep Singh,31,England,Wicketkeeper,164,10,10318,111.9,0,0.0,29.18,CSK,0.5
Rohan Deshmukh,41,India,Bowler,149,8,3634,137.5,695,4.85,22.97,PBKS,5.0
Vikas Malik,27,England,Batter,62,4,5758,136.6,15,8.6,28.78,RCB,3.0
Harshit Yadav,26,India,Bowler,169,7,3933,132.7,368,4.96,46.68,GT,3.0
Karthik Kulkarni,27,England,Bowler,23,1,862,146.1,690,7.33,53.77,RR,0.5
Irfan Deshmukh,36,England,Bowler,269,9,78,149.5,275,6.21,48.3,GT,0.5
Pranav Verma,25,Australia,Wicketkeeper,28,1,6527,148.7,0,0.0,20.41,MI,0.2
Harshit Sharma,22,India,Allrounder,23,1,6997,123.4,301,8.38,47.94,DC,1.5
Ankit Mehta,33,England,Batter,195,11,12127,118.8,4,6.45,29.5,CSK,3.0
Sandeep Patel,24,India,Wicketkeeper,90,4,6647,112.5,0,0.0,24.31,CSK,7.0
Nikhil Deshmukh,27,India,Wicketkeeper,84,5,10227,143.3,0,0.0,20.32,KKR,5.0
Irfan Deshmukh,21,India,Allrounder,36,2,7316,105.5,171,6.09,40.62,CSK,2.0
Sameer Chopra,29,England,Allrounder,191,7,5487,110.5,426,5.89,37.09,RR,12.0
Harshit Verma,24,South Africa,Allrounder,85,4,4588,102.3,42,7.28,26.14,PBKS,5.0
Manoj Reddy,32,Australia,Bowler,75,3,1078,153.4,186,4.94,33.9,CSK,10.0
Arjun Sharma,22,South Africa,Batter,21,1,11209,109.5,4,8.1,37.17,KKR,3.0
Amit Verma,29,India,Allrounder,68,3,2458,97.1,245,5.26,36.41,KKR,1.0
Nikhil Shetty,18,Sri Lanka,Wicketkeeper,29,1,8618,118.9,0,0.0,24.79,DC,0.2
Arjun Verma,22,India,Wicketkeeper,73,4,4116,136.3,0,0.0,54.75,GT,5.0
Karthik Chopra,31,Sri Lanka,Wicketkeeper,80,4,4948,118.7,0,0.0,41.86,MI,0.5
Ankit Yadav,26,South Africa,Bowler,58,2,1096,144.9,240,7.66,36.22,LSG,1.0
Harshit Mehta,37,India,Bowler,362,17,3917,102.7,719,6.8,37.92,KKR,3.0
Nikhil Singh,42,South Africa,Bowler,190,12,2137,104.7,749,5.06,34.92,RCB,3.0
Sandeep Mehta,35,Sri Lanka,Bowler,240,12,1188,136.9,801,4.5,35.97,GT,3.0
Rohan Mehta,18,Sri Lanka,Batter,24,1,10459,103.8,10,7.86,24.89,PBKS,0.5
Pranav Malik,26,Sri Lanka,Bowler,124,8,1128,154.1,859,6.22,23.37,LSG,1.5
Karthik Chopra,36,Australia,Wicketkeeper,41,2,8879,112.1,0,0.0,50.43,MI,3.0
Karthik Yadav,28,South Africa,Wicketkeeper,174,10,3013,99.3,0,0.0,50.66,PBKS,12.0
Amit Singh,39,India,Allrounder,156,7,5935,119.5,474,6.84,30.84,LSG,5.0
Sameer Sharma,41,India,Batter,435,19,4794,113.3,15,7.04,50.97,GT,10.0
Sameer Yadav,28,Sri Lanka,Allrounder,196,7,8970,135.2,122,7.53,47.96,CSK,7.0
Pranav Naidu,21,South Africa,Wicketkeeper,81,3,4152,110.4,0,0.0,41.63,MI,3.0
Sandeep Yadav,30,India,Wicketkeeper,129,6,3649,122.6,0,0.0,47.39,RR,0.5
Arjun Malik,21,Sri Lanka,Allrounder,28,1,5180,133.6,96,6.08,50.88,DC,5.0
Harshit Naidu,22,West Indies,Allrounder,113,4,2046,99.0,323,6.41,38.06,RCB,3.0
Irfan Naidu,22,West Indies,Bowler,26,1,3734,135.3,744,5.31,53.29,GT,3.0
Nikhil Khan,23,India,Batter,85,3,11680,123.0,9,7.7,42.91,RR,2.0
Pranav Chopra,21,England,Allrounder,57,3,5310,110.2,405,5.36,52.16,DC,3.0
Vikas Naidu,25,India,Allrounder,18,1,5838,95.8,204,7.34,27.16,RR,1.5
Karthik Sharma,29,India,Wicketkeeper,261,10,6685,136.0,0,0.0,46.75,LSG,2.0
Aditya Verma,26,India,Allrounder,31,2,7614,112.5,415,7.94,52.59,CSK,0.5
Ankit Reddy,26,India,Wicketkeeper,22,1,4515,128.2,0,0.0,44.38,CSK,7.0
Harshit Sharma,19,Sri Lanka,Allrounder,20,1,6286,102.4,250,7.09,53.71,LSG,0.5
Aditya Chopra,34,England,Bowler,129,6,630,110.3,544,4.47,48.48,GT,0.2
Rohan Mehta,24,India,Allrounder,137,6,2441,145.3,448,7.17,38.05,LSG,2.0
Aditya Yadav,38,South Africa,Wicketkeeper,464,20,7019,117.6,0,0.0,52.26,RR,5.0
Arjun Khan,32,West Indies,Allrounder,359,12,6964,146.4,412,5.13,28.08,LSG,2.0
Sameer Patel,25,England,Wicketkeeper,114,6,4840,145.9,0,0.0,24.87,CSK,1.0
Harshit Reddy,29,Sri Lanka,Batter,195,11,12146,148.3,10,8.03,36.57,LSG,3.0
Amit Shetty,24,Sri Lanka,Wicketkeeper,127,6,6176,139.8,0,0.0,48.16,MI,1.5
Amit Khan,40,England,Allrounder,27,1,7998,150.5,70,7.58,35.64,RCB,10.0
Vikas Khan,19,South Africa,Batter,27,1,11097,97.9,14,6.61,28.63,MI,10.0
Harshit Sharma,29,India,Wicketkeeper,54,3,9838,103.6,0,0.0,39.53,LSG,2.0
Karthik Reddy,36,England,Batter,227,15,9724,97.3,9,6.65,21.26,KKR,1.5
Nikhil Deshmukh,23,India,Bowler,104,4,1204,130.5,295,7.16,32.53,PBKS,5.0
Sameer Deshmukh,34,Sri Lanka,Wicketkeeper,85,4,4719,148.7,0,0.0,22.46,RR,0.2
Sandeep Deshmukh,23,Australia,Batter,75,4,4177,132.0,12,9.43,26.42,DC,2.0
Ankit Chopra,38,South Africa,Batter,154,8,10905,140.8,4,8.38,35.03,SRH,1.5
Irfan Verma,28,Sri Lanka,Batter,170,7,5581,104.0,1,9.02,29.76,RR,10.0
Nikhil Sharma,39,India,Wicketkeeper,145,7,8249,100.6,0,0.0,27.38,RR,0.2
Sameer Patel,19,Australia,Wicketkeeper,15,1,10221,109.3,0,0.0,52.12,KKR,3.0
Sandeep Shetty,25,South Africa,Bowler,27,1,1798,120.6,525,4.3,38.63,CSK,5.0
Pranav Sharma,30,India,Allrounder,171,6,2964,154.9,182,8.15,46.37,DC,2.0
Nikhil Verma,23,England,Wicketkeeper,22,1,5230,153.2,0,0.0,47.55,KKR,0.2
Karthik Chopra,34,England,Batter,351,14,4110,137.4,7,9.37,22.79,CSK,12.0
Karthik Yadav,34,India,Allrounder,37,2,4597,133.8,437,6.41,32.28,RCB,2.0
Rohan Singh,32,England,Wicketkeeper,244,14,9197,111.4,0,0.0,40.21,DC,3.0
Amit Naidu,21,England,Batter,51,2,8986,97.1,15,9.27,46.92,CSK,1.0
Nikhil Singh,18,West Indies,Bowler,27,1,2177,152.8,584,6.75,52.57,CSK,2.0
Sandeep Shetty,26,England,Batter,150,5,12544,126.2,13,8.67,27.15,KKR,2.0
Arjun Reddy,38,India,Allrounder,141,6,3519,140.9,200,6.91,51.35,PBKS,0.2
Manoj Kulkarni,31,England,Batter,26,1,4030,106.7,11,8.76,40.99,RCB,0.2
Aditya Singh,20,India,Wicketkeeper,45,2,11035,114.9,0,0.0,20.32,MI,7.0
Rahul Malik,26,Sri Lanka,Bowler,115,6,1094,101.8,863,4.76,49.5,RCB,1.0
Pranav Patel,26,Sri Lanka,Batter,144,6,14267,112.1,5,6.9,53.6,PBKS,0.5
Manoj Shetty,21,South Africa,Allrounder,23,1,7097,95.6,232,6.33,29.93,MI,2.0
Aditya Shetty,20,England,Bowler,37,2,619,101.2,224,4.45,22.71,RR,7.0
Amit Deshmukh,22,India,Wicketkeeper,45,3,4256,130.6,0,0.0,26.63,GT,0.2
Nikhil Deshmukh,26,India,Bowler,49,2,2287,146.7,628,5.37,34.85,LSG,3.0
Vikas Naidu,26,West Indies,Allrounder,18,1,8131,124.9,109,8.2,33.96,SRH,0.2
Karthik Shetty,30,India,Batter,137,9,14924,99.4,0,8.63,23.13,PBKS,0.2
Arjun Chopra,34,India,Allrounder,25,1,8485,124.2,375,7.28,47.66,PBKS,0.2
Rohan Sharma,34,India,Batter,39,2,14671,118.3,0,9.21,40.87,KKR,7.0
Aditya Deshmukh,28,England,Batter,27,1,14635,153.9,7,7.75,49.09,CSK,0.2
Harshit Shetty,28,India,Wicketkeeper,182,9,4231,149.7,0,0.0,28.9,PBKS,0.2
Rahul Reddy,42,Australia,Batter,173,8,3361,110.9,4,8.7,27.31,RR,2.0
Sameer Khan,38,South Africa,Bowler,73,3,3397,96.2,512,7.59,53.79,SRH,7.0
Arjun Patel,42,England,Bowler,269,9,3538,144.2,274,4.57,29.66,RCB,1.0
Karthik Malik,30,West Indies,Batter,80,3,7316,108.0,10,7.23,40.49,SRH,2.0
Manoj Sharma,37,India,Bowler,45,3,1002,134.4,309,5.32,20.55,PBKS,0.2
Ankit Reddy,20,Sri Lanka,Wicketkeeper,52,2,4465,98.9,0,0.0,23.49,DC,2.0
Ankit Naidu,42,India,Wicketkeeper,264,14,2871,120.1,0,0.0,48.52,GT,3.0
Rohan Yadav,27,South Africa,Batter,127,6,13637,109.7,3,9.11,40.1,GT,3.0
Amit Chopra,30,India,Allrounder,147,5,8688,112.3,205,7.69,34.32,RR,1.5
Irfan Yadav,24,Sri Lanka,Bowler,34,2,1110,103.1,824,5.99,20.91,CSK,1.0
Rohan Patel,35,South Africa,Wicketkeeper,265,16,6064,104.2,0,0.0,41.94,RCB,0.2
Irfan Malik,39,Sri Lanka,Allrounder,413,19,4126,106.4,318,5.26,31.82,DC,1.5
Aditya Singh,30,India,Batter,48,2,7020,106.5,9,6.27,51.89,GT,0.2
Rohan Kulkarni,19,India,Allrounder,30,1,5718,134.2,311,5.07,33.45,SRH,7.0
Nikhil Iyer,29,South Africa,Batter,248,10,9109,130.3,12,8.35,27.82,CSK,12.0
Ankit Kulkarni,37,South Africa,Bowler,208,7,581,124.5,549,7.22,48.79,PBKS,12.0
Sandeep Yadav,31,West Indies,Bowler,240,12,339,154.1,258,5.54,46.97,RR,10.0
Sameer Verma,33,West Indies,Bowler,116,6,2510,125.9,837,7.67,36.58,MI,3.0
Pranav Naidu,37,India,Allrounder,221,12,8914,147.8,441,7.64,53.75,GT,5.0
Irfan Naidu,22,India,Batter,15,1,9889,142.9,4,7.14,27.37,LSG,1.0
Irfan Khan,36,India,Allrounder,248,10,6911,105.8,428,6.91,32.16,CSK,3.0
Karthik Yadav,36,India,Allrounder,221,10,2282,103.8,490,8.26,42.13,DC,2.0
Nikhil Patel,38,India,Bowler,197,10,3890,102.2,324,6.25,31.41,CSK,2.0
Irfan Chopra,41,South Africa,Batter,584,23,12389,106.2,1,7.97,48.02,RR,5.0
Aditya Verma,31,Sri Lanka,Wicketkeeper,187,7,4724,153.3,0,0.0,27.52,LSG,1.0
Rahul Kulkarni,42,Australia,Batter,30,2,12032,122.3,7,6.65,46.17,CSK,1.0
Aditya Naidu,34,India,Bowler,235,9,73,96.2,891,5.07,38.94,GT,10.0
Aditya Naidu,20,England,Wicketkeeper,50,2,6132,152.4,0,0.0,33.69,PBKS,0.2
Sandeep Iyer,24,India,Allrounder,165,6,3351,153.1,355,6.47,44.31,DC,2.0
Sandeep Singh,22,Sri Lanka,Allrounder,44,2,7807,128.8,132,7.52,54.11,LSG,10.0
Ankit Naidu,32,India,Allrounder,141,8,2373,148.7,377,7.41,44.48,DC,3.0
Rahul Patel,34,West Indies,Bowler,259,12,1769,112.4,115,6.79,30.62,SRH,3.0
Vikas Chopra,25,South Africa,Wicketkeeper,158,6,10514,142.0,0,0.0,30.38,KKR,1.0
Sandeep Shetty,35,Australia,Allrounder,491,17,4213,110.0,500,6.97,48.59,CSK,1.5
Ankit Kulkarni,40,Australia,Bowler,543,21,3083,144.8,566,4.42,41.1,GT,7.0
Pranav Mehta,19,West Indies,Bowler,25,1,988,127.5,213,4.71,29.89,RCB,3.0
Sameer Singh,38,South Africa,Bowler,32,2,3490,116.1,509,5.23,22.22,SRH,2.0
Nikhil Verma,40,Sri Lanka,Wicketkeeper,660,22,9909,154.2,0,0.0,21.1,RR,0.2
Vikas Deshmukh,34,India,Wicketkeeper,59,3,11907,134.7,0,0.0,32.99,RR,0.2
Harshit Kulkarni,28,India,Allrounder,166,10,2440,116.4,404,7.26,43.58,DC,12.0
Sandeep Yadav,35,India,Wicketkeeper,187,11,7100,138.8,0,0.0,44.17,DC,1.5
Karthik Mehta,32,India,Wicketkeeper,85,4,5722,101.8,0,0.0,42.99,RR,3.0
Rohan Shetty,34,Sri Lanka,Allrounder,368,13,5307,96.7,331,5.98,34.52,PBKS,0.2
Harshit Malik,20,India,Bowler,31,2,2253,123.0,815,5.65,44.67,RCB,5.0
Harshit Sharma,38,Australia,Batter,71,4,11267,113.9,13,7.08,22.12,MI,10.0
Manoj Iyer,39,India,Batter,292,14,11002,129.1,10,8.4,32.23,DC,3.0
Rohan Malik,36,India,Batter,309,11,14457,127.2,12,8.47,36.42,PBKS,0.5
Pranav Chopra,32,India,Batter,52,2,7344,133.2,11,7.79,43.1,CSK,3.0
Rohan Iyer,34,Sri Lanka,Bowler,459,16,2758,103.4,736,5.1,25.48,RCB,7.0
Ankit Deshmukh,27,Australia,Wicketkeeper,209,7,10958,133.4,0,0.0,50.55,RCB,2.0
Rahul Naidu,24,Sri Lanka,Allrounder,19,1,7586,105.2,209,6.43,46.48,MI,10.0
Irfan Khan,20,India,Bowler,22,1,1341,147.8,317,7.16,41.24,SRH,5.0
Pranav Naidu,31,Sri Lanka,Allrounder,176,8,3242,95.9,168,8.01,23.75,LSG,10.0
Harshit Malik,41,West Indies,Wicketkeeper,136,5,7786,100.6,0,0.0,44.94,DC,3.0
Amit Verma,19,Sri Lanka,Batter,17,1,7206,124.8,0,6.24,36.54,PBKS,0.5
Rahul Kulkarni,33,West Indies,Wicketkeeper,232,15,9265,113.6,0,0.0,50.46,RCB,1.0
Irfan Verma,20,South Africa,Wicketkeeper,28,1,10651,105.2,0,0.0,32.34,RR,0.5
Sandeep Shetty,39,Sri Lanka,Wicketkeeper,165,9,5289,141.5,0,0.0,21.06,MI,10.0
Manoj Reddy,27,India,Allrounder,110,4,7523,144.0,65,7.36,52.63,GT,7.0
Harshit Yadav,24,England,Allrounder,52,2,2682,114.2,492,8.07,40.52,RR,5.0
Aditya Deshmukh,29,Sri Lanka,Wicketkeeper,116,6,7745,99.6,0,0.0,29.03,RR,1.0
Arjun Shetty,41,India,Wicketkeeper,30,1,5381,100.7,0,0.0,31.03,MI,0.5
Harshit Naidu,34,Australia,Allrounder,212,8,4901,115.8,423,8.06,39.67,RR,5.0
Pranav Reddy,39,Australia,Bowler,84,3,2857,122.5,734,5.65,53.94,MI,2.0
Pranav Khan,37,India,Wicketkeeper,203,7,11889,112.8,0,0.0,41.96,KKR,1.0
Ankit Reddy,30,Australia,Wicketkeeper,59,3,3126,120.2,0,0.0,22.14,SRH,3.0
Pranav Mehta,36,South Africa,Batter,267,11,6566,143.8,0,7.71,23.46,DC,0.2
Manoj Iyer,19,India,Bowler,26,1,2780,104.2,159,4.26,46.75,MI,1.5
Karthik Chopra,30,India,Batter,113,5,11215,128.9,3,8.53,36.39,LSG,2.0
Harshit Malik,20,Sri Lanka,Allrounder,22,1,6450,141.0,252,8.11,48.42,KKR,0.5
Sameer Kulkarni,29,England,Wicketkeeper,82,3,11414,143.8,0,0.0,42.5,RCB,15.0
Karthik Deshmukh,30,England,Wicketkeeper,166,8,7385,122.5,0,0.0,50.26,CSK,0.5
Rahul Iyer,34,South Africa,Wicketkeeper,49,2,4074,150.6,0,0.0,20.83,PBKS,0.5
Irfan Naidu,28,India,Bowler,91,5,2350,152.5,333,4.2,29.7,CSK,0.5
Vikas Iyer,24,West Indies,Batter,163,6,6195,118.3,15,9.06,24.17,RR,7.0
Sandeep Patel,26,South Africa,Batter,202,7,11929,104.4,9,6.28,28.75,KKR,2.0
Karthik Patel,20,India,Wicketkeeper,46,2,6856,124.3,0,0.0,44.55,RCB,3.0
Aditya Mehta,23,South Africa,Batter,50,3,10748,121.5,13,9.45,38.14,DC,0.2
Arjun Mehta,39,India,Allrounder,236,12,7174,127.4,228,6.83,38.12,RCB,0.2
Arjun Naidu,29,South Africa,Allrounder,57,3,1547,95.1,441,5.03,23.42,CSK,2.0
Arjun Shetty,39,India,Bowler,105,5,1461,137.3,227,4.39,27.17,RCB,7.0
Rahul Singh,35,England,Wicketkeeper,430,15,9216,148.7,0,0.0,52.5,KKR,10.0
Manoj Chopra,27,Sri Lanka,Bowler,154,8,1689,151.3,363,7.71,29.52,SRH,0.2
Amit Naidu,39,West Indies,Allrounder,242,12,2341,105.5,428,6.78,48.22,RCB,3.0
Aditya Kulkarni,18,West Indies,Allrounder,16,1,5922,146.1,285,8.11,35.17,CSK,10.0
Irfan Khan,28,India,Allrounder,200,7,7051,100.9,213,7.66,21.41,DC,1.5
Ankit Chopra,35,India,Batter,60,4,12208,120.5,13,8.64,54.84,CSK,7.0
Harshit Verma,33,Sri Lanka,Wicketkeeper,261,10,3800,100.8,0,0.0,49.95,SRH,0.5
Arjun Shetty,36,South Africa,Wicketkeeper,153,7,5676,123.8,0,0.0,48.95,GT,10.0
Manoj Shetty,30,India,Allrounder,221,11,3416,150.0,193,7.86,30.42,DC,5.0
Aditya Mehta,32,India,Allrounder,145,8,5428,104.1,335,8.32,22.87,RR,12.0
Sameer Khan,22,West Indies,Wicketkeeper,33,2,3716,120.9,0,0.0,48.99,RCB,5.0
Vikas Naidu,29,India,Bowler,30,1,1003,144.8,375,5.8,45.54,SRH,1.5
Sandeep Patel,28,Australia,Allrounder,15,1,4117,151.9,364,5.73,22.13,PBKS,10.0
Sandeep Shetty,18,India,Wicketkeeper,30,1,11735,148.9,0,0.0,30.66,RR,1.0
Rohan Singh,31,Sri Lanka,Batter,73,3,6870,120.3,13,7.75,26.01,PBKS,1.5
Nikhil Patel,30,West Indies,Allrounder,17,1,5096,106.6,424,6.25,27.14,PBKS,5.0
Manoj Reddy,27,India,Bowler,198,8,1807,124.3,741,4.71,47.93,DC,7.0
Harshit Verma,34,England,Wicketkeeper,347,12,8434,129.1,0,0.0,51.26,GT,10.0
Rahul Shetty,32,West Indies,Bowler,38,2,3928,136.4,348,6.42,43.37,PBKS,0.5
Sameer Reddy,26,England,Batter,128,7,8553,136.4,15,7.57,22.44,KKR,7.0
Karthik Verma,26,Sri Lanka,Wicketkeeper,201,8,5085,146.6,0,0.0,47.22,KKR,5.0
Arjun Verma,20,Sri Lanka,Bowler,29,1,1512,141.1,472,4.93,20.44,GT,0.2
Ankit Singh,20,West Indies,Wicketkeeper,22,1,4578,108.0,0,0.0,22.28,LSG,1.5
Pranav Shetty,41,India,Batter,131,6,12653,140.4,0,8.73,48.48,CSK,1.0
Aditya Patel,28,India,Allrounder,123,5,4138,125.1,321,5.02,44.67,LSG,1.0
Ankit Deshmukh,29,India,Batter,148,5,6671,134.0,8,6.54,22.94,PBKS,15.0
Manoj Iyer,27,India,Allrounder,53,3,3043,123.5,352,5.63,42.87,LSG,5.0
Harshit Shetty,25,England,Batter,37,2,6312,106.1,11,6.51,27.16,RR,5.0
Nikhil Naidu,24,West Indies,Allrounder,92,6,6172,108.6,242,5.84,33.83,DC,12.0
Aditya Deshmukh,23,South Africa,Bowler,75,5,2151,121.3,581,6.48,47.16,MI,1.5
Pranav Naidu,35,West Indies,Allrounder,277,16,7875,102.6,399,7.52,21.71,GT,7.0
Irfan Reddy,33,India,Wicketkeeper,97,4,10181,147.7,0,0.0,22.79,KKR,2.0
Irfan Reddy,32,South Africa,Bowler,61,4,2331,96.3,591,4.56,41.99,RR,10.0
Arjun Shetty,39,England,Wicketkeeper,290,19,3405,129.9,0,0.0,54.54,DC,0.5
Rohan Singh,39,Sri Lanka,Allrounder,386,21,6420,119.7,244,8.1,33.01,CSK,12.0
Pranav Patel,23,Sri Lanka,Batter,104,5,14643,104.1,5,7.04,24.83,CSK,0.5
Ankit Iyer,40,West Indies,Wicketkeeper,95,5,8162,102.9,0,0.0,23.99,LSG,1.5
Amit Singh,27,Australia,Bowler,190,7,321,113.4,835,4.91,53.66,PBKS,5.0
Rahul Patel,29,Sri Lanka,Wicketkeeper,145,7,5830,129.7,0,0.0,54.57,LSG,1.5
Sandeep Verma,36,West Indies,Wicketkeeper,316,18,11561,117.3,0,0.0,36.02,DC,3.0
Arjun Kulkarni,32,Australia,Batter,166,11,11107,106.0,10,7.14,25.01,GT,2.0
Aditya Chopra,40,England,Bowler,215,11,3037,154.2,481,7.59,21.57,CSK,5.0
Sandeep Reddy,28,India,Wicketkeeper,244,10,3044,104.0,0,0.0,34.82,GT,1.0
Ankit Patel,42,India,Batter,329,15,12928,116.8,13,6.65,24.52,KKR,0.2
Harshit Iyer,32,India,Batter,65,3,9359,111.3,7,7.6,32.32,GT,1.0
Irfan Khan,35,Sri Lanka,Batter,446,15,11531,120.7,10,6.33,54.41,RCB,2.0
